,text,mentions,choose_one,class_label
0,"Hey @FordService @Ford , your RAV group by way con Concentrix is so bad I just had to file complaints with the FTC and CA State Attorney General's office. As a (former) Ford owner for life and current Ford stock holder, what gives?","[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [4, 16]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [17, 22]}]",,2
1,Are you listening👂@mtruby @Desiujkashevic @elizabethw313 @ChristinBaker @FordService @Ford. Your #Takata #airbag #recall campaign is failing your customers. https://t.co/YawJYbWTVz,"[{'screen_name': 'mtruby', 'name': 'Mark Truby', 'id': 14067629, 'id_str': '14067629', 'indices': [18, 25]}, {'screen_name': 'Desiujkashevic', 'name': 'Desi Ujkashevic', 'id': 3401158299, 'id_str': '3401158299', 'indices': [26, 41]}, {'screen_name': 'elizabethw313', 'name': 'Elizabeth Weigandt', 'id': 15520609, 'id_str': '15520609', 'indices': [42, 56]}, {'screen_name': 'ChristinBaker', 'name': 'Christin Baker', 'id': 275679214, 'id_str': '275679214', 'indices': [57, 71]}, {'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [72, 84]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [85, 90]}]",,2
2,Hey @Ford @FordService any eta for the airbag recall? I would like to be able to drive my son in my car without fear of metal shards exploding.,"[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [4, 9]}, {'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [10, 22]}]",,2
3,"I can't get FordPass to work with my iPhone 6s. I see the icon on the SYNC dash and can view health reports there but the app still says ""Enable FordPass on SYNC AppLink""
 @FordService","[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [172, 184]}]",,2
4,"I made this short video to show the issue with my 2012 @Ford Edge. I have contacted @FordService and they want me to pay to diagnose the  problem. It is a defect, fix your problem @Ford 
https://t.co/HlMx7QtWgg","[{'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [55, 60]}, {'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [84, 96]}, {'screen_name': 'Ford', 'name': 'Ford Motor Company', 'id': 15676492, 'id_str': '15676492', 'indices': [180, 185]}]",,2
5,Nothing like a rattle that the dealership can't fix.  This is what an $80k truck sounds like. @FordService @FordTrucks https://t.co/2wxXeCkDo0,"[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [94, 106]}, {'screen_name': 'FordTrucks', 'name': 'Ford Trucks', 'id': 16243938, 'id_str': '16243938', 'indices': [107, 118]}]",,2
6,Before I forget @fordservice is monsters,"[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [16, 28]}]",,2
7,My SYNC is not updating.  Recommendations please. @FordService,"[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [50, 62]}]",,2
8,I have been driving a rental for over a week now and the technicians @FordService never called so left work early and received no real info other then the recalled and replaced transmission is bad. Good thing this car is costing me enough money to negate going to work thanks?,"[{'screen_name': 'FordService', 'name': 'Ford Service USA', 'id': 16512432, 'id_str': '16512432', 'indices': [69, 81]}]",,2
