,text,mentions,choose_one,class_label
0,"Attempt with @askvisa failed pretty hard. They’re telling me that literally every other person I’ve spoken to on this matter is wrong, and they are right. If I did that people would ask me what I’m smoking because it can’t be right. But according to @askvisa they are right. 🙃","[{'screen_name': 'askvisa', 'name': 'Ask Visa', 'id': 1373108376, 'id_str': '1373108376', 'indices': [13, 21]}, {'screen_name': 'askvisa', 'name': 'Ask Visa', 'id': 1373108376, 'id_str': '1373108376', 'indices': [250, 258]}]",,2
1,Once again being failed by @askvisa . This whole incident is making me not want to take credit cards.,"[{'screen_name': 'askvisa', 'name': 'Ask Visa', 'id': 1373108376, 'id_str': '1373108376', 'indices': [27, 35]}]",,2
2,"Hi @askvisa I'd like to confirm that Visa Spain reports the visa card's movements to the SePlAC or to EBA, for AML reason.","[{'screen_name': 'askvisa', 'name': 'Ask Visa', 'id': 1373108376, 'id_str': '1373108376', 'indices': [3, 11]}]",,2
3,"didn't know visa had such a bad service.. @askvisa 
i called a financial institution, and they don't even speak english fluently
and in the begin of the call ""a dutch employee is going to talk with you"" they don't even have one, every employee can't talk english fix your service","[{'screen_name': 'askvisa', 'name': 'Ask Visa', 'id': 1373108376, 'id_str': '1373108376', 'indices': [42, 50]}]",,2
